algorithm_name,env_n,scenario_n,states_n,actions_count,actions_cost,time,solution_found
DFS,1,1,8507,158.000000,158.000000,0.042732,True
DFS,1,2,8507,158.000000,437.000000,0.044413,True
DFS,2,1,7627,,,0.037607,False
DFS,2,2,7627,,,0.037930,False
DFS,3,1,437,430.000000,430.000000,0.005022,True
DFS,3,2,437,430.000000,1222.000000,0.001979,True
DFS,4,1,5912,,,0.032236,False
DFS,4,2,5912,,,0.028136,False
DFS,5,1,6215,305.000000,305.000000,0.036901,True
DFS,5,2,6215,305.000000,809.000000,0.029947,True
DFS,6,1,3167,390.000000,390.000000,0.014535,True
DFS,6,2,3167,390.000000,1227.000000,0.047841,True
DFS,7,1,2062,1185.000000,1185.000000,0.009444,True
DFS,7,2,2062,1185.000000,3579.000000,0.009365,True
DFS,8,1,5984,,,0.028292,False
DFS,8,2,5984,,,0.029844,False
DFS,9,1,1464,939.000000,939.000000,0.007246,True
DFS,9,2,1464,939.000000,2307.000000,0.008389,True
DFS,10,1,1138,1007.000000,1007.000000,0.005527,True
DFS,10,2,1138,1007.000000,3500.000000,0.006101,True
DFS,11,1,1943,141.000000,141.000000,0.008731,True
DFS,11,2,1943,141.000000,564.000000,0.009331,True
DFS,12,1,2632,,,0.014914,False
DFS,12,2,2632,,,0.012557,False
DFS,13,1,5166,348.000000,348.000000,0.024490,True
DFS,13,2,5166,348.000000,969.000000,0.031572,True
DFS,14,1,5064,,,0.026931,False
DFS,14,2,5064,,,0.030487,False
DFS,15,1,4280,,,0.021906,False
DFS,15,2,4280,,,0.021230,False
DFS,16,1,5483,1029.000000,1029.000000,0.030372,True
DFS,16,2,5483,1029.000000,3189.000000,0.027749,True
DFS,17,1,1513,1001.000000,1001.000000,0.007455,True
DFS,17,2,1513,1001.000000,2855.000000,0.006938,True
DFS,18,1,3049,1668.000000,1668.000000,0.014697,True
DFS,18,2,3049,1668.000000,5808.000000,0.019345,True
DFS,19,1,3353,1166.000000,1166.000000,0.022453,True
DFS,19,2,3353,1166.000000,3506.000000,0.020649,True
DFS,20,1,1782,991.000000,991.000000,0.011657,True
DFS,20,2,1782,991.000000,3259.000000,0.008112,True
DFS,21,1,1639,821.000000,821.000000,0.008099,True
DFS,21,2,1639,821.000000,2810.000000,0.008264,True
DFS,22,1,7706,727.000000,727.000000,0.045976,True
DFS,22,2,7706,727.000000,2824.000000,0.038224,True
DFS,23,1,2714,,,0.014633,False
DFS,23,2,2714,,,0.013377,False
DFS,24,1,4701,2213.000000,2213.000000,0.024842,True
DFS,24,2,4701,2213.000000,7631.000000,0.023300,True
DFS,25,1,5996,,,0.030318,False
DFS,25,2,5996,,,0.031206,False
DFS,26,1,2458,,,0.011553,False
DFS,26,2,2458,,,0.013337,False
DFS,27,1,486,470.000000,470.000000,0.002382,True
DFS,27,2,486,470.000000,1928.000000,0.002493,True
DFS,28,1,2288,,,0.047755,False
DFS,28,2,2288,,,0.010218,False
DFS,29,1,5206,,,0.024304,False
DFS,29,2,5206,,,0.025924,False
