algorithm_name,env_n,size,best_solution,H,states,time,success
random,27,8,"[2, 5, 3, 0, 7, 4, 6, 1]",0,379,0.0020165443420410156,True
random,28,8,"[4, 1, 7, 0, 3, 6, 2, 5]",0,1291,0.00685882568359375,True
random,29,8,"[4, 7, 3, 0, 2, 5, 1, 6]",0,532,0.002819538116455078,True
random,30,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,1117,0.010120868682861328,True
random,31,8,"[4, 1, 3, 5, 7, 2, 0, 6]",0,1429,0.008988618850708008,True
random,32,8,"[4, 2, 7, 3, 6, 0, 5, 1]",0,320,0.0018687248229980469,True
random,33,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,388,0.0022106170654296875,True
random,34,8,"[4, 6, 1, 5, 2, 0, 3, 7]",0,491,0.0025887489318847656,True
random,35,8,"[3, 6, 4, 1, 5, 0, 2, 7]",0,451,0.002382993698120117,True
random,36,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,438,0.002324342727661133,True
random,37,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,1564,0.008342981338500977,True
random,38,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,111,0.0005867481231689453,True
random,39,8,"[1, 3, 5, 7, 2, 0, 6, 4]",0,404,0.002115964889526367,True
random,40,8,"[5, 3, 1, 7, 4, 6, 0, 2]",0,333,0.0017573833465576172,True
random,41,8,"[0, 6, 3, 5, 7, 1, 4, 2]",0,316,0.001657247543334961,True
random,42,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,401,0.0021097660064697266,True
random,43,8,"[1, 4, 6, 3, 0, 7, 5, 2]",0,82,0.0007750988006591797,True
random,44,8,"[1, 6, 2, 5, 7, 4, 0, 3]",0,530,0.002803325653076172,True
random,45,8,"[7, 3, 0, 2, 5, 1, 6, 4]",0,68,0.0003802776336669922,True
random,46,8,"[3, 6, 4, 1, 5, 0, 2, 7]",0,1002,0.00541996955871582,True
random,47,8,"[7, 2, 0, 5, 1, 4, 6, 3]",0,115,0.0006105899810791016,True
random,48,8,"[4, 6, 3, 0, 2, 7, 5, 1]",0,572,0.003017902374267578,True
random,49,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,101,0.0005614757537841797,True
random,0,10,"[9, 6, 3, 0, 4, 1, 8, 5, 7, 2]",0,1489,0.01100468635559082,True
random,1,10,"[7, 4, 1, 9, 0, 5, 3, 8, 6, 2]",0,1829,0.013727426528930664,True
random,2,10,"[2, 9, 3, 6, 8, 1, 5, 7, 0, 4]",0,590,0.004467010498046875,True
random,3,10,"[4, 6, 8, 3, 1, 7, 9, 2, 0, 5]",0,1072,0.007713794708251953,True
random,4,10,"[4, 7, 3, 5, 9, 1, 6, 0, 2, 8]",1,10000,0.07274699211120605,False
random,5,10,"[8, 0, 7, 3, 1, 6, 9, 5, 2, 4]",0,1714,0.012365102767944336,True
random,6,10,"[4, 2, 5, 8, 0, 7, 3, 1, 6, 9]",1,10000,0.07281780242919922,False
random,7,10,"[3, 7, 0, 4, 8, 1, 5, 9, 2, 6]",0,3014,0.022057294845581055,True
random,8,10,"[2, 4, 1, 8, 5, 9, 6, 3, 0, 7]",0,2756,0.020583391189575195,True
random,9,10,"[5, 1, 9, 6, 8, 2, 0, 3, 7, 4]",0,109,0.0007829666137695312,True
random,10,10,"[6, 2, 7, 5, 1, 9, 4, 0, 8, 3]",0,2336,0.01712822914123535,True
random,11,10,"[4, 7, 3, 8, 6, 2, 0, 5, 1, 9]",0,4798,0.03619861602783203,True
random,12,10,"[8, 0, 2, 7, 5, 1, 9, 4, 6, 3]",0,543,0.004114866256713867,True
random,13,10,"[3, 9, 4, 1, 8, 6, 2, 7, 5, 0]",0,2271,0.016497135162353516,True
random,14,10,"[3, 7, 2, 4, 8, 0, 5, 9, 6, 1]",0,1972,0.014801025390625,True
