algorithm_name,env_n,size,best_solution,H,states,time,success
random,27,8,"[2, 5, 3, 0, 7, 4, 6, 1]",0,379,0.003940582275390625,True
random,28,8,"[4, 1, 7, 0, 3, 6, 2, 5]",0,1291,0.012613058090209961,True
random,29,8,"[4, 7, 3, 0, 2, 5, 1, 6]",0,532,0.007507801055908203,True
random,30,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,1117,0.007839202880859375,True
random,31,8,"[4, 1, 3, 5, 7, 2, 0, 6]",0,1429,0.013349056243896484,True
random,32,8,"[4, 2, 7, 3, 6, 0, 5, 1]",0,320,0.0020847320556640625,True
random,33,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,388,0.003330707550048828,True
random,34,8,"[4, 6, 1, 5, 2, 0, 3, 7]",0,491,0.0035517215728759766,True
random,35,8,"[3, 6, 4, 1, 5, 0, 2, 7]",0,451,0.0034394264221191406,True
random,36,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,438,0.006574153900146484,True
random,37,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,1564,0.01660013198852539,True
random,38,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,111,0.0011131763458251953,True
random,39,8,"[1, 3, 5, 7, 2, 0, 6, 4]",0,404,0.005434274673461914,True
random,40,8,"[5, 3, 1, 7, 4, 6, 0, 2]",0,333,0.004371166229248047,True
random,41,8,"[0, 6, 3, 5, 7, 1, 4, 2]",0,316,0.0037813186645507812,True
random,42,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,401,0.0034723281860351562,True
random,43,8,"[1, 4, 6, 3, 0, 7, 5, 2]",0,82,0.0007708072662353516,True
random,44,8,"[1, 6, 2, 5, 7, 4, 0, 3]",0,530,0.006150722503662109,True
random,45,8,"[7, 3, 0, 2, 5, 1, 6, 4]",0,68,0.0008881092071533203,True
random,46,8,"[3, 6, 4, 1, 5, 0, 2, 7]",0,1002,0.006358623504638672,True
random,47,8,"[7, 2, 0, 5, 1, 4, 6, 3]",0,115,0.0014426708221435547,True
random,48,8,"[4, 6, 3, 0, 2, 7, 5, 1]",0,572,0.007366657257080078,True
random,49,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,101,0.0008132457733154297,True
random,0,10,"[9, 6, 3, 0, 4, 1, 8, 5, 7, 2]",0,1489,0.018916845321655273,True
random,1,10,"[7, 4, 1, 9, 0, 5, 3, 8, 6, 2]",0,1829,0.022007465362548828,True
random,2,10,"[2, 9, 3, 6, 8, 1, 5, 7, 0, 4]",0,590,0.0078582763671875,True
random,3,10,"[4, 6, 8, 3, 1, 7, 9, 2, 0, 5]",0,1072,0.01738715171813965,True
random,4,10,"[4, 7, 3, 5, 9, 1, 6, 0, 2, 8]",1,10000,0.10582876205444336,False
random,5,10,"[8, 0, 7, 3, 1, 6, 9, 5, 2, 4]",0,1714,0.021179914474487305,True
random,6,10,"[4, 2, 5, 8, 0, 7, 3, 1, 6, 9]",1,10000,0.09692645072937012,False
random,7,10,"[3, 7, 0, 4, 8, 1, 5, 9, 2, 6]",0,3014,0.057904958724975586,True
random,8,10,"[2, 4, 1, 8, 5, 9, 6, 3, 0, 7]",0,2756,0.050774574279785156,True
random,9,10,"[5, 1, 9, 6, 8, 2, 0, 3, 7, 4]",0,109,0.002025127410888672,True
random,10,10,"[6, 2, 7, 5, 1, 9, 4, 0, 8, 3]",0,2336,0.04208564758300781,True
random,11,10,"[4, 7, 3, 8, 6, 2, 0, 5, 1, 9]",0,4798,0.06995272636413574,True
random,12,10,"[8, 0, 2, 7, 5, 1, 9, 4, 6, 3]",0,543,0.006798982620239258,True
