algorithm_name,env_n,scenario_n,states_n,actions_count,actions_cost,time,solution_found
DFS,1,1,8507,158.000000,158.000000,0.041455,True
DFS,1,2,8507,158.000000,437.000000,0.039572,True
DFS,2,1,7627,,,0.035966,False
DFS,2,2,7627,,,0.042493,False
DFS,3,1,437,430.000000,430.000000,0.001979,True
DFS,3,2,437,430.000000,1222.000000,0.002061,True
DFS,4,1,5912,,,0.042191,False
DFS,4,2,5912,,,0.054157,False
DFS,5,1,6215,305.000000,305.000000,0.066202,True
DFS,5,2,6215,305.000000,809.000000,0.052687,True
DFS,6,1,3167,390.000000,390.000000,0.029404,True
DFS,6,2,3167,390.000000,1227.000000,0.084740,True
DFS,7,1,2062,1185.000000,1185.000000,0.016023,True
DFS,7,2,2062,1185.000000,3579.000000,0.019644,True
DFS,8,1,5984,,,0.055858,False
DFS,8,2,5984,,,0.059907,False
DFS,9,1,1464,939.000000,939.000000,0.011976,True
DFS,9,2,1464,939.000000,2307.000000,0.012866,True
DFS,10,1,1138,1007.000000,1007.000000,0.011466,True
DFS,10,2,1138,1007.000000,3500.000000,0.010609,True
DFS,11,1,1943,141.000000,141.000000,0.019249,True
DFS,11,2,1943,141.000000,564.000000,0.018611,True
DFS,12,1,2632,,,0.027854,False
DFS,12,2,2632,,,0.024045,False
DFS,13,1,5166,348.000000,348.000000,0.049053,True
DFS,13,2,5166,348.000000,969.000000,0.051769,True
DFS,14,1,5064,,,0.044616,False
DFS,14,2,5064,,,0.048427,False
DFS,15,1,4280,,,0.041241,False
DFS,15,2,4280,,,0.036633,False
DFS,16,1,5483,1029.000000,1029.000000,0.046478,True
DFS,16,2,5483,1029.000000,3189.000000,0.048097,True
DFS,17,1,1513,1001.000000,1001.000000,0.015703,True
DFS,17,2,1513,1001.000000,2855.000000,0.014500,True
DFS,18,1,3049,1668.000000,1668.000000,0.029185,True
DFS,18,2,3049,1668.000000,5808.000000,0.031936,True
DFS,19,1,3353,1166.000000,1166.000000,0.033592,True
DFS,19,2,3353,1166.000000,3506.000000,0.032941,True
DFS,20,1,1782,991.000000,991.000000,0.019272,True
DFS,20,2,1782,991.000000,3259.000000,0.017417,True
DFS,21,1,1639,821.000000,821.000000,0.016425,True
DFS,21,2,1639,821.000000,2810.000000,0.013632,True
DFS,22,1,7706,727.000000,727.000000,0.072649,True
DFS,22,2,7706,727.000000,2824.000000,0.079865,True
DFS,23,1,2714,,,0.025786,False
DFS,23,2,2714,,,0.037946,False
DFS,24,1,4701,2213.000000,2213.000000,0.047810,True
DFS,24,2,4701,2213.000000,7631.000000,0.044943,True
DFS,25,1,5996,,,0.060652,False
DFS,25,2,5996,,,0.054856,False
DFS,26,1,2458,,,0.025567,False
DFS,26,2,2458,,,0.034255,False
DFS,27,1,486,470.000000,470.000000,0.005533,True
DFS,27,2,486,470.000000,1928.000000,0.005532,True
DFS,28,1,2288,,,0.065174,False
DFS,28,2,2288,,,0.014096,False
DFS,29,1,5206,,,0.047245,False
DFS,29,2,5206,,,0.050584,False
DFS,30,1,2452,850.000000,850.000000,0.023731,True
DFS,30,2,2452,850.000000,1984.000000,0.023348,True
DLS-50,1,1,1121,,,0.010410,False
DLS-50,1,2,1121,,,0.009626,False
DLS-50,2,1,1344,,,0.012073,False
DLS-50,2,2,1344,,,0.011903,False
DLS-50,3,1,1138,,,0.010224,False
DLS-50,3,2,1138,,,0.009962,False
DLS-50,4,1,1021,,,0.009426,False
DLS-50,4,2,1021,,,0.008573,False
DLS-50,5,1,1300,,,0.011287,False
DLS-50,5,2,1300,,,0.011313,False
DLS-50,6,1,101,60.000000,60.000000,0.000965,True
DLS-50,6,2,101,60.000000,123.000000,0.000943,True
DLS-50,7,1,1253,,,0.011778,False
DLS-50,7,2,1253,,,0.010966,False
DLS-50,8,1,1031,,,0.009460,False
DLS-50,8,2,1031,,,0.009670,False
DLS-50,9,1,1032,,,0.009694,False
DLS-50,9,2,1032,,,0.008129,False
DLS-50,10,1,1247,,,0.006989,False
DLS-50,10,2,1247,,,0.009068,False
DLS-50,11,1,1635,,,0.011050,False
DLS-50,11,2,1635,,,0.008139,False
DLS-50,12,1,912,,,0.003983,False
DLS-50,12,2,912,,,0.004101,False
DLS-50,13,1,825,,,0.004642,False
DLS-50,13,2,825,,,0.004134,False
DLS-50,14,1,1037,,,0.004443,False
DLS-50,14,2,1037,,,0.008765,False
DLS-50,15,1,1646,,,0.010636,False
DLS-50,15,2,1646,,,0.007875,False
DLS-50,16,1,897,221.000000,221.000000,0.007699,True
DLS-50,16,2,897,221.000000,1103.000000,0.004621,True
DLS-50,17,1,1019,,,0.004476,False
DLS-50,17,2,1019,,,0.004604,False
DLS-50,18,1,505,,,0.002138,False
DLS-50,18,2,505,,,0.003300,False
DLS-50,19,1,1135,,,0.009907,False
DLS-50,19,2,1135,,,0.010248,False
DLS-50,20,1,1264,,,0.011602,False
DLS-50,20,2,1264,,,0.011024,False
DLS-50,21,1,945,,,0.008340,False
DLS-50,21,2,945,,,0.007726,False
DLS-50,22,1,657,,,0.005577,False
DLS-50,22,2,657,,,0.005818,False
DLS-50,23,1,788,,,0.006541,False
DLS-50,23,2,788,,,0.006587,False
DLS-50,24,1,970,,,0.008336,False
DLS-50,24,2,970,,,0.008179,False
DLS-50,25,1,1130,,,0.017532,False
DLS-50,25,2,1130,,,0.013818,False
DLS-50,26,1,723,,,0.018760,False
DLS-50,26,2,723,,,0.010210,False
DLS-50,27,1,889,,,0.015867,False
DLS-50,27,2,889,,,0.011475,False
DLS-50,28,1,403,,,0.003549,False
DLS-50,28,2,403,,,0.003370,False
DLS-50,29,1,1493,,,0.013694,False
DLS-50,29,2,1493,,,0.013844,False
DLS-50,30,1,802,,,0.005679,False
DLS-50,30,2,802,,,0.003547,False
DLS-75,1,1,1985,,,0.008676,False
DLS-75,1,2,1985,,,0.008672,False
DLS-75,2,1,2685,,,0.020257,False
DLS-75,2,2,2685,,,0.013689,False
DLS-75,3,1,1928,,,0.008977,False
DLS-75,3,2,1928,,,0.010453,False
DLS-75,4,1,1186,,,0.006952,False
DLS-75,4,2,1186,,,0.011875,False
DLS-75,5,1,159,89.000000,89.000000,0.000724,True
DLS-75,5,2,159,89.000000,179.000000,0.000710,True
DLS-75,6,1,658,66.000000,66.000000,0.002854,True
DLS-75,6,2,658,66.000000,129.000000,0.003138,True
DLS-75,7,1,2302,,,0.012249,False
DLS-75,7,2,2302,,,0.011907,False
DLS-75,8,1,2819,,,0.015303,False
DLS-75,8,2,2819,,,0.019408,False
DLS-75,9,1,2224,,,0.009956,False
DLS-75,9,2,2224,,,0.010213,False
DLS-75,10,1,1795,,,0.009489,False
DLS-75,10,2,1795,,,0.009238,False
DLS-75,11,1,1282,,,0.005679,False
DLS-75,11,2,1282,,,0.005789,False
DLS-75,12,1,994,,,0.004697,False
DLS-75,12,2,994,,,0.007189,False
DLS-75,13,1,1425,,,0.011497,False
DLS-75,13,2,1425,,,0.006616,False
DLS-75,14,1,2168,,,0.009836,False
DLS-75,14,2,2168,,,0.009358,False
DLS-75,15,1,1878,,,0.008370,False
DLS-75,15,2,1878,,,0.012778,False
DLS-75,16,1,1857,355.000000,355.000000,0.012814,True
DLS-75,16,2,1857,355.000000,1777.000000,0.013572,True
DLS-75,17,1,1222,,,0.005629,False
